date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:58:27	228/228	---M--	200	added ('OK')	image/png	etag:%2244a-5512e14270400%22	https://orteil.dashnet.org/cookieclicker/img/sugarLump.png	orteil.dashnet.org/cookieclicker/img/sugarLump.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:28	95/95	---M--	200	added ('OK')	image/png	etag:%225f-4eea026531600%22	https://orteil.dashnet.org/cookieclicker/img/empty.png	orteil.dashnet.org/cookieclicker/img/empty.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:29	95176/95176	---M--	200	added ('OK')	image/png	etag:%22176d4-4eea02b17ca00%22	https://orteil.dashnet.org/cookieclicker/img/imperfectCookie.png	orteil.dashnet.org/cookieclicker/img/imperfectCookie.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:30	829/829	---M--	200	added ('OK')	image/png	etag:%228c8-522682a77f100%22	https://orteil.dashnet.org/cookieclicker/img/cursor.png	orteil.dashnet.org/cookieclicker/img/cursor.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:31	14752/14752	---M--	200	added ('OK')	image/png	etag:%2239a0-4eea03539c880%22	https://orteil.dashnet.org/cookieclicker/img/smallCookies.png	orteil.dashnet.org/cookieclicker/img/smallCookies.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:32	5981/5981	---M--	200	added ('OK')	image/png	etag:%221c26-51e57528529c0%22	https://orteil.dashnet.org/cookieclicker/img/panelVertical.png?v=2	orteil.dashnet.org/cookieclicker/img/panelVertical5e1f.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:33	139/139	---M--	200	added ('OK')	image/png	etag:%223f4-521922d452000%22	https://orteil.dashnet.org/cookieclicker/img/panelGradientTop.png	orteil.dashnet.org/cookieclicker/img/panelGradientTop.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:34	137/137	---M--	200	added ('OK')	image/png	etag:%223ec-521922e94d180%22	https://orteil.dashnet.org/cookieclicker/img/panelGradientBottom.png	orteil.dashnet.org/cookieclicker/img/panelGradientBottom.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:35	5733/5733	---M--	200	added ('OK')	image/png	etag:%221a3e-51e5751ce0ec0%22	https://orteil.dashnet.org/cookieclicker/img/panelHorizontal.png?v=2	orteil.dashnet.org/cookieclicker/img/panelHorizontal5e1f.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:36	132/132	---M--	200	added ('OK')	image/png	etag:%223eb-521922fa77a00%22	https://orteil.dashnet.org/cookieclicker/img/panelGradientLeft.png	orteil.dashnet.org/cookieclicker/img/panelGradientLeft.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:37	129/129	---M--	200	added ('OK')	image/png	etag:%223eb-52192307d1980%22	https://orteil.dashnet.org/cookieclicker/img/panelGradientRight.png	orteil.dashnet.org/cookieclicker/img/panelGradientRight.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:38	21629/21629	---M--	200	added ('OK')	image/png	etag:%22c4b5-51e5ec460f180%22	https://orteil.dashnet.org/cookieclicker/img/panelMenu3.png	orteil.dashnet.org/cookieclicker/img/panelMenu3.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:39	2281/2281	---M--	200	added ('OK')	image/gif	etag:%22905-5de421e78e300%22	https://orteil.dashnet.org/cookieclicker/img/pointGlow.gif	orteil.dashnet.org/cookieclicker/img/pointGlow.gif	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:40	20629/20629	---M--	200	added ('OK')	image/png	etag:%2253e8-526b700a160c0%22	https://orteil.dashnet.org/cookieclicker/img/roundedPanelBGS.png	orteil.dashnet.org/cookieclicker/img/roundedPanelBGS.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:41	1384/1384	---M--	200	added ('OK')	image/png	etag:%228dc-526b748743800%22	https://orteil.dashnet.org/cookieclicker/img/bracketPanelLeftS.png	orteil.dashnet.org/cookieclicker/img/bracketPanelLeftS.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:42	1473/1473	---M--	200	added ('OK')	image/png	etag:%22924-526b74a00f280%22	https://orteil.dashnet.org/cookieclicker/img/bracketPanelRightS.png	orteil.dashnet.org/cookieclicker/img/bracketPanelRightS.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:43	1326/1326	---M--	200	added ('OK')	image/jpeg	etag:%22994-527574113adc0%22	https://orteil.dashnet.org/cookieclicker/img/prestigeBar.jpg	orteil.dashnet.org/cookieclicker/img/prestigeBar.jpg	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:44	164/164	---M--	200	added ('OK')	image/png	etag:%223ce-5275747df2e40%22	https://orteil.dashnet.org/cookieclicker/img/prestigeBarCap.png	orteil.dashnet.org/cookieclicker/img/prestigeBarCap.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:45	12898/12898	---M--	200	added ('OK')	image/jpeg	etag:%2232de-4eeae0ba62280%22	https://orteil.dashnet.org/cookieclicker/img/mapBG.jpg	orteil.dashnet.org/cookieclicker/img/mapBG.jpg	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:46	83/83	---M--	200	added ('OK')	image/png	etag:%225e-4eea02b17ca00%22	https://orteil.dashnet.org/cookieclicker/img/infoBG.png	orteil.dashnet.org/cookieclicker/img/infoBG.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:47	213/213	---M--	200	added ('OK')	image/png	etag:%22114-4eea02b17ca00%22	https://orteil.dashnet.org/cookieclicker/img/infoBGfade.png	orteil.dashnet.org/cookieclicker/img/infoBGfade.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:48	106/106	---M--	200	added ('OK')	image/png	etag:%223cb-5009ca663a680%22	https://orteil.dashnet.org/cookieclicker/img/blackGradientSmallTop.png	orteil.dashnet.org/cookieclicker/img/blackGradientSmallTop.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:49	17783/17783	---M--	200	added ('OK')	image/png	etag:%224e32-530cf98a70740%22	https://orteil.dashnet.org/cookieclicker/img/upgradeFrame.png?v=2	orteil.dashnet.org/cookieclicker/img/upgradeFrame5e1f.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:50	148/148	---M--	200	added ('OK')	image/png	etag:%223ee-52216bc47cbc0%22	https://orteil.dashnet.org/cookieclicker/img/upgradeSelector.png	orteil.dashnet.org/cookieclicker/img/upgradeSelector.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:51	10121/10121	---M--	200	added ('OK')	image/png	etag:%222d32-5222d3f371340%22	https://orteil.dashnet.org/cookieclicker/img/pieFill.png	orteil.dashnet.org/cookieclicker/img/pieFill.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:52	11048/11048	---M--	200	added ('OK')	image/png	etag:%2238c5-513e77bcda0c0%22	https://orteil.dashnet.org/cookieclicker/img/ascendSlot.png	orteil.dashnet.org/cookieclicker/img/ascendSlot.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:53	4253/4253	---M--	200	added ('OK')	image/gif	etag:%22109d-52ae0c5cadac0%22	https://orteil.dashnet.org/cookieclicker/img/linkPulse.gif	orteil.dashnet.org/cookieclicker/img/linkPulse.gif	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:54	17730/17730	---M--	200	added ('OK')	image/jpeg	etag:%22481e-4eeae0ba62280%22	https://orteil.dashnet.org/cookieclicker/img/storeTile.jpg	orteil.dashnet.org/cookieclicker/img/storeTile.jpg	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:55	820/820	---M--	200	added ('OK')	image/png	etag:%227de-5512e66776740%22	https://orteil.dashnet.org/cookieclicker/img/levelUp.png	orteil.dashnet.org/cookieclicker/img/levelUp.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:56	3938/3938	---M--	200	added ('OK')	image/png	etag:%221003-4eea0270a3100%22	https://orteil.dashnet.org/cookieclicker/img/goldCookie.png	orteil.dashnet.org/cookieclicker/img/goldCookie.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:57	11894/11894	---M--	200	added ('OK')	image/jpeg	etag:%223e0a-521fa45d9de40%22	https://orteil.dashnet.org/cookieclicker/img/sparkles.jpg	orteil.dashnet.org/cookieclicker/img/sparkles.jpg	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:58	2032/2032	---M--	200	added ('OK')	image/png	etag:%22b9d-526bbc73da8c0%22	https://orteil.dashnet.org/cookieclicker/img/featherLeft.png	orteil.dashnet.org/cookieclicker/img/featherLeft.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:58:59	2022/2022	---M--	200	added ('OK')	image/png	etag:%22bb8-526bbc8410f00%22	https://orteil.dashnet.org/cookieclicker/img/featherRight.png	orteil.dashnet.org/cookieclicker/img/featherRight.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:59:00	20305/20305	---M--	200	added ('OK')	image/png	etag:%22569a-52751d650b140%22	https://orteil.dashnet.org/cookieclicker/img/ascendBox.png	orteil.dashnet.org/cookieclicker/img/ascendBox.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:59:01	9995/9995	---M--	200	added ('OK')	image/png	etag:%222ba8-52751d997ed00%22	https://orteil.dashnet.org/cookieclicker/img/ascendInfo.png	orteil.dashnet.org/cookieclicker/img/ascendInfo.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
20:59:02	710/710	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp1.z)')	text/html	date:Wed,%2006%20Apr%202022%2011:42:57%20GMT	http://orteil.dashnet.org/robots.txt		(from https://orteil.dashnet.org/cookieclicker/)
20:59:03	318/318	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2213e-4e5694a329b80%22	http://orteil.dashnet.org/cookieclicker/beta/img/favicon.ico	orteil.dashnet.org/cookieclicker/beta/img/favicon.ico	(from http://orteil.dashnet.org/cookieclicker/beta/)
20:59:04	3146/3146	---M-Z	200	added ('OK')	text/javascript	etag:%22c4a-4e56895b6fe80-gzip%22	http://orteil.dashnet.org/cookieclicker/beta/base64.js	orteil.dashnet.org/cookieclicker/beta/base64.js	(from http://orteil.dashnet.org/cookieclicker/beta/)
20:59:05	64895/64895	---M-Z	200	added ('OK')	text/css	etag:%22fd7f-5fa9570cb5c40-gzip%22	http://orteil.dashnet.org/cookieclicker/beta/style.css?v=9	orteil.dashnet.org/cookieclicker/beta/stylec164.css	(from http://orteil.dashnet.org/cookieclicker/beta/)
20:59:08	253/253	---M-Z	200	added ('OK')	text/javascript	etag:%22fd-583359271f340-gzip%22	http://orteil.dashnet.org/cookieclicker/beta/showads.js	orteil.dashnet.org/cookieclicker/beta/showads.js	(from http://orteil.dashnet.org/cookieclicker/beta/)
20:59:09	1476/1476	---M--	200	added ('OK')	image/png	etag:%22935-565ab4f315780%22	http://orteil.dashnet.org/cookieclicker/beta/img/discord.png	orteil.dashnet.org/cookieclicker/beta/img/discord.png	(from http://orteil.dashnet.org/cookieclicker/beta/)
20:59:10	1710/1710	---M--	200	added ('OK')	image/png	etag:%22a5b-522d4feb15940%22	http://orteil.dashnet.org/cookieclicker/beta/img/weeHoodie.png	orteil.dashnet.org/cookieclicker/beta/img/weeHoodie.png	(from http://orteil.dashnet.org/cookieclicker/beta/)
20:59:10	1470/1470	---M--	200	added ('OK')	image/png	etag:%2296d-577db4a8003c0%22	http://orteil.dashnet.org/cookieclicker/beta/img/patreon.png	orteil.dashnet.org/cookieclicker/beta/img/patreon.png	(from http://orteil.dashnet.org/cookieclicker/beta/)
20:59:10	941916/941916	---MCZ	200	added ('OK')	text/javascript	etag:%22e5f5c-5faa5f41332c0-gzip%22	http://orteil.dashnet.org/cookieclicker/beta/main.js?v=10	orteil.dashnet.org/cookieclicker/beta/mainb6f5.js	(from http://orteil.dashnet.org/cookieclicker/beta/)
20:59:11	2773/2773	---M--	200	added ('OK')	image/png	etag:%22e8d-577ce7d6fcac0%22	http://orteil.dashnet.org/cookieclicker/beta/img/heraldFlag.png	orteil.dashnet.org/cookieclicker/beta/img/heraldFlag.png	(from http://orteil.dashnet.org/cookieclicker/beta/)
